Area,0-2 years,3-6 years,7-12 years,13-15 years,16-17 years,18-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years or over
WHOLE COUNTRY,0.027621645,0.042863622,0.06755427,0.03256028,0.02115562,0.02180351,0.05806102,0.06431265,0.06350148,0.06447195,0.062046036,0.057191487,0.06606639,0.06673404,0.06570611,0.06564214,0.059924766,0.037923537,0.028106429,0.026753021
MK01 Uusimaa,0.030495672,0.045099292,0.06898405,0.03227841,0.020733394,0.021307893,0.05929059,0.075942054,0.07586486,0.07517187,0.07066087,0.062218137,0.068775795,0.06327976,0.056263704,0.052932214,0.050628837,0.03060339,0.020602936,0.018866276
Askola,0.029850746,0.055465914,0.087333605,0.044171035,0.02722872,0.021379588,0.034086324,0.043565955,0.054659136,0.063533686,0.07462686,0.061113354,0.07583703,0.07079467,0.06575232,0.065147236,0.05344897,0.030859217,0.021581283,0.01956434
Espoo,0.034960795,0.05317806,0.07991693,0.036501523,0.022860609,0.022779517,0.060895808,0.071596295,0.0752877,0.07957847,0.074515566,0.06513722,0.06733373,0.058815647,0.04986391,0.04522057,0.044349723,0.026068991,0.016740002,0.01439894
Hanko,0.019453395,0.028404344,0.058956917,0.030433226,0.020408163,0.01933405,0.03210407,0.034490988,0.042367823,0.051318772,0.05621196,0.06743048,0.07172693,0.07411385,0.07996181,0.08855472,0.10144409,0.059672993,0.036877908,0.0267335
Helsinki,0.029873064,0.040799826,0.055726327,0.024905793,0.016162533,0.018146971,0.06807121,0.09823746,0.09232889,0.08180643,0.069290265,0.056271043,0.06417794,0.060488362,0.053504247,0.04963413,0.048654255,0.030244954,0.020594344,0.021081967
Vantaa,0.034233846,0.047158647,0.07163644,0.03306803,0.021545717,0.02245295,0.064624004,0.07776794,0.07867517,0.07743485,0.07139539,0.06328726,0.06871751,0.06160427,0.05324632,0.04860058,0.04581752,0.027374806,0.017960608,0.01339814
Hyvinkaa,0.025460176,0.040211596,0.0695209,0.033308964,0.023008773,0.022428177,0.05255462,0.060467917,0.06061844,0.06188715,0.06339239,0.061994668,0.0701015,0.07033803,0.06805866,0.066983484,0.05939274,0.036491483,0.027610527,0.026169792
Inga,0.023135295,0.03683139,0.07440311,0.041273367,0.023690542,0.020914307,0.028687766,0.034795485,0.04164353,0.057190448,0.07125671,0.06866556,0.085878216,0.07421803,0.07181196,0.0734777,0.067184895,0.045715343,0.027947437,0.03127892
Jarvenpaa,0.03137526,0.046901636,0.07143515,0.034669433,0.02103202,0.025040314,0.0596176,0.06797973,0.06772633,0.070767105,0.06634416,0.058972586,0.069822624,0.067472935,0.06470859,0.058857407,0.05344391,0.028841281,0.019580742,0.015411195
Karkkila,0.02255639,0.03907496,0.07302347,0.037707906,0.023581682,0.021531101,0.032809295,0.03691046,0.048074733,0.06071998,0.06915015,0.062087037,0.07302347,0.07120073,0.07473229,0.081681475,0.068694465,0.039530646,0.029961267,0.033948507
Kauniainen,0.022880916,0.04274571,0.08403536,0.04628185,0.03099324,0.030889235,0.049609985,0.040561624,0.04222569,0.05231409,0.06957878,0.06801872,0.07966719,0.06729069,0.054914195,0.049817994,0.06032241,0.045657825,0.033697348,0.028497139
Kerava,0.029431235,0.04322282,0.0709439,0.032934297,0.021845866,0.023528438,0.06015888,0.069868155,0.068682075,0.068516575,0.06581343,0.05886247,0.06642026,0.06760633,0.0617587,0.061703537,0.05861422,0.032327466,0.021266619,0.016494732
